ID,Название,Ключи,Данные
1242,"Получение навыка привязанного только к одной школе, да",s-,566244753 1432030650 260095205
1243,т дополнительно {0} очков опыта для этой школы.,"""R",206886188 1605474966 1818112379
1244,РОСТОВЩИЧЕСТВО, y,2857003847 1472530429 181424910
1245,Получите {0} золота. Цена покупок в магазине и случайных навыков увеличивается на {1}.,"Np<7N, |Eup",4081894959 62427063 1800755825
1246,Игрушка лошадка,"Vo, HGvfK, 7B, 10",3386779865 4291514061 1823141868
1247,Каждый раунд вы можете сделать прогноз на случайный поединок: выберите одну из сторон,"iM, n8h, BZ",1394399954 596377572 1401087562
1248,"если выбранная сторона победит, получите {0} золота. Доступно только один раз за раунд.",&t,1664049636 3480012614 3734216202
1249,Весы Равновесия,"\d, @f",437667580 2437688790 3440704423
1250,При получении навыка из ветки наивысшего уровня существует {0},<yY,392908762 1505992769 712155527
1251,шанс получить {1} очко опыта для ветки с наименьшим уровнем.,"CZv, z2, w%",529973522 1117203000 1145714016
1252,Мифическая Реликвия,ftXP,824594708 3715719382 4183679683
1253,"После использования выберите, чтобы получить легендарный навык, и в течение {1} раундов каждый раунд будет списываться {0} золота.",~r,1369898346 430154099 1261075904
1254,Клинок Душепийцы,"u1, '?86""",3483513428 285946823 3378941081
1255,При победе над врагом поглощает {0} ед. здоровья игрока и увеличивает его максимальный предел здоровья.,"4q, )zX",1598591137 3249535654 1310582741
1256,Распределитель Опыта,"s"", -z#""",3654390258 3294926401 371936386
1257,"При активном использовании равномерно распределяет ваш текущий опыт между тремя школами с наивысшим уровнем. Можно использовать до {0} раз. (Школы, теряющие опыт, не понизят уровень.)","gb""\",3916720115 97948346 1344882637
1258,Гоблинские Зв,E},3490354010 920514967 1354644439
1259,зды,Q^9p/},248540264 3169484424 146282065
1260,"Каждый раунд случайным образом выбирается одна из веток. В течение этого раунда, каждый раз, когда вы изучаете навык из этой ветки, вы получаете {0} золота.",,4100630626 67241822 383043558
1261,Мешок Удачи,"]SX, n_, pue",4095397655 3117469805 1949012210
1262,Победа в бою да,b0X,3486020515 3397828807 1432135783
1263,т случайную награду. Ценность награды увеличивается с вашей серией поражений.,"&_Z~, :R}1",2822319462 1171159309 1903469159
1264,Жертвенный Гримуар,LW6,1041040520 739161845 3468183142
1265,"Базовый доход уменьшается на {0}, но первый навык, купленный в каждом раунде, становится бесплатным.",">N, %:",1645690720 51619761 917708006
1266,Золото Дураков,Zf,3580707151 3110341694 1899952398
1267,"При поражении ваш противник получает {0} золота, а вы","A&da, E""",1476754241 294708509 55290986
1268,"навык, противодействующий его основной ветви. Если навык получить невозможно, вы получаете это золото.","!v+?, 6-v",3724318070 2488372864 1364089604
1269,Мастер Перетасовки,~i`,2169749265 821200536 1971832026
1270,При использовании: Жертвует все умения выбранной Ветки и переда,,1108167290 342847175 939548699
1271,"т их силу другой Ветке, давая умения равного уровня. Можно использовать {0} раз(а).","D,a, Dtn, (z",3845068321 622040634 177136896
1272,Браслет Мудрости,Z@-3,1635580779 932380715 2159086724
1273,В начале каждого раунда автоматически покупает случайное умение из магазина по цене {0:,"'W, Cl",2775224628 2424195135 3233664128
1274,Сокровище Удачи,"<0, ~a",2197787380 2582019109 1994176
1275,При получении Редкого умения вы также получаете 1 случайное Обычное умение той же школы. Срабатывает до {0} раз(а).,I~,2867450066 2248872638 925140814
1276,Алхимическая Печь,"'~, 0U7v",30188105 222833280 569710384
1277,"Второй НАВЫК, купленный за ход, не да","Og, ^ES",815606483 423571741 766606996
1278,"т НАВЫК, а вместо этого да",,3452260372 1653000107 3185278983
1279,т х{1} ОПЫТ.,kuG,2197825926 242821141 2820067385
1280,МЕДАЛЬ ШКОЛЫ,"Tm$, R??ot?K",1231861874 231870499 490279480
1281,"Когда вы получаете все базовые навыки школы (независимо от уровня), награда составляет {0} золота. Когда вы получаете все навыки этой школы, вы получаете дополнительно {1} золота.","p>i, k ",70881233 4098291466 514258421
1282,Кольцо стража богатства,"Kf, Bl, K/",3653383623 3789338667 272165800
1283,"Когда вас почти исключили, сохраняет 1 здоровье игрока и дает {0} золота. Срабатывает {1} раз(а).",N ,2012621516 2226294447 928592031
1284,Зелье Гигантизма,OL,679333411 2163602590 928771949
1285,При получении макс.,"4\, _z",2698155038 1753957074 1611350783
1286,и текущие,,857940651 1740745487 2320371214
1287,"игрока становятся равны {0}, но получаемый боевой урон при поражении увеличивается в",2/,1533017974 3138818658 3406726467
1288,Руна Прозрения,kv,4002260022 4074957017 3980439496
1289,При каждом повышении уровня героя есть шанс {0:,,344477173 967246564 3772480203
1290,повысить уровень еще раз.,8V~,1735993636 31101263 3991178355
1291,Список Наследия Поля Боя,"V), (|, (8",2737027694 2791547730 2518869601
1292,"Каждый раз, когда игрок выбывает, вы получаете {0} его случайный(х) навык(а).",Ec8ps54,2636500686 2601838454 263375293
1293,"Каждый раз, когда игрок выбывает, вы получаете от {0} до {1} его случайных навыков.","pZ, ;R",2163299251 187745340 157667785
1294,Увеличивает скорость атаки на {0:,"! , bj""",3781655885 2808492220 3716110282
1295,Уменьшает получаемый физический урон на {0:,"a+, D2",2384135184 3126842391 940171246
1296,и увеличивает,Vza65,3456338435 2165125270 3354077201
1297,Увеличивает множитель урона,"?@(, 10, 7$<",1932328421 3713525137 2317019363
1298,максимальное,"6U, rh, Y(b",4085085353 734383628 2745157634
1299,Увеличивает все эффекты,#W,3963506738 1976734283 1965608236
1300,Увеличивает эффект,"`c""p, ?,, >Z",510600394 2285933654 2196379959
1301,Увеличивает количество зарядов,"S6fz, 4*Bo",500384553 2110580968 2511334920
1302,каждый раз при нанесении,"v~j, lr, `|",1941744577 481644566 3332528716
1303,Увеличивает количество стаков,"\X5, ?e, [y",494106921 1341890084 3531086157
1304,Заморозка,8I;`,1707950999 2449240422 1724281919
1305,"Каждый раз, когда добавляется",,3436196067 3773868086 1731908672
1306,щит,"Gx_, P5, }8",3443323659 1669179069 2652800748
1307,количество слоев,"xi, fAj",1775542419 855025170 3462519033
1308,Рана,~\~,468218185 1243375831 1830488274
1309,каждый раз при предоставлении,"{M, {+",2542770710 3183915005 2754050862
1310,Увеличивает максимальное,"Le, [q",1081216532 3571881935 3576345778
1311,Духа,5m,1688184730 2596919833 2442763283
1312,и долю получаемого урона на {1:,,716212968 219520289 4015264309
1313,количество полученной,"q}', \>, O+[)[",4286684387 3141201103 2646809853
1314,дополнительно увеличивается на {0:,<<r,4047761843 1315255421 4272796458
1315,УСКОРЕНИЕ,":6L"", EL",2997967387 1100138295 700498723
1316,При добавлении,"4u, ?t, dsJ",4123318187 2435049852 4229353134
1317,количество добавляемых слоев,"X{e2H, } ",3668653864 3162405803 1727076098
1318,Бесстрашное комбо,l`,2758077656 1808003482 910992482
1319,При совершении,(j,3072829383 1822181434 3490162619
1320,базовая атака,-@,1459549061 4147164149 2676927067
1321,с шансом в {0:,"!U, q%",2435978673 2554691455 4241108439
1322,вы совершите дополнительную атаку (Эта атака может снова запустить комбо).,zd,1333545999 2513268121 3806492179
1323,Воодушевление,"[5, RQ",934458405 341603297 4211597417
1324,Каждую {0} сек. боя увеличивает,"y4, =,",1502760359 3967464434 896070994
1325,вплоть до {2:,,291004940 1336225107 3220614533
1326,Авангардная атака,s ,722082223 2800880052 1078278997
1327,"Каждые {0} сек. наносит маг. урон, равный (",,3233913028 699758267 274990168
1328,"ВАША АТК, - АТК ВРАГА",/BA~t,2021789412 2929244812 2642385353
1329,Мин. {2:,"@J, g$",143536069 2874061263 2792577242
1330,Безумие войны,"i,`:\~, mo, m{-",1899101182 4121521504 1507500254
1331,В начале боя увеличивает,,909568120 279155187 238187061
1332,показатель атаки,dWt,1453513095 3341957959 2564015187
1333,ед. на {1} сек.,"^\L, )w",667621634 3118392763 467588235
1334,Исцеляющая атака,"@Y7~, Bq",520289574 152575487 2368646627
1335,базовой атаки,"u9, B&",304683339 4073509685 2993060992
1336,есть {0:,y):,3058346487 1851910353 1618672406
1337,ед. здоровья.,";~$j, !co",658298393 143810584 2584682426
1338,Ядовитая атака,"oO, cs82",1688166183 2667864784 2774710157
1339,шанс наложить на противника {1:,"Xg, Yr, We`uC",3995195225 2439259398 1386591660
1340,стака(ов),:X#,3174184842 142591675 2838648437
1341,Заряженная атака,"Ev, iK",842468268 1181287494 2648748987
1342,шанс восстановить {1:,"q7, T3",2201749006 3700235195 578622665
1343,Увеличение атаки,"\m48, xK 7D#",2317385436 2157822905 467434648
1344,Промах,)?P=,2869558634 4207756748 4094511110
1345,Когда враг совершает,,405046612 3992221060 457348769
1346,существует {0:,"CER, ;`, &R",2432250810 4237225231 2246437342
1347,"шанс, что его",B',599496954 2997990281 2734084272
1348,не удастся.,$z,2438144060 393461853 2670690050
1349,Замораживаюшая атака,87c,3519097786 3462687036 1534595903
1350,Атака щитом,7TT,1778107359 1851421583 1992403548
1351,шанс наложить на себя {1:,"=uOT, er",44194680 2483345026 4122267011
1352,щитов,B1,1137524105 3655911059 1543081172
1353,Безумие здоровья,"Mh, q:, C=",1511998763 2428758313 2169185070
1354,Каждый уникальный навык ветки,"{=L, YJ",1594479174 526049352 3087546574
1355,Ранящая атака,"qs, [u",786108219 3736271616 4121228414
1356,Пылкое уклонение,".x&N4, SQ",2017189406 1259772598 607761450
1357,Каждое,49,2367807320 412609208 405027854
1358,"ед. на {0} сек., вплоть до {2:",#U,1514009262 3269321732 722858063
1359,Безумный крит,"Z"", @$x",264465216 2679829376 2448760557
1360,Каждая,{*e,4062758917 399938146 2057335108
1361,критическая атака,"6l, &n",2998739830 2959591038 3033205963
1362,Доля атаки,"PF, -8",300277074 3653873905 461328818
1363,Каждая единица,"iJ, Fg",3974609830 2375100252 1731423436
1364,показателя атаки,"Al, ws`",934703070 3767600907 1600702334
1365,т первому,"Oyyb, H9jt, ~Sm",3955419903 817829969 3049467136
1366,духу,"8f{+, 0P",2908953056 3211853861 2012249578
1367,ед. максимального здоровья.,"C%, {2?, 8H'",3623923017 3385343784 2525414466
1368,Яростная атака,"-|, 1a@yc",1519758414 391056071 2376098551
1369,В состоянии ярости," B, bF, jw",2600088429 2723958800 279486632
1370,ед. каждые {0} сек.,"mo, /M ",4059039115 1332022388 3268078992
1371,Идеальная отдача,"m_t, /r}",3680687172 1893806636 970888448
1372,После успешного,=\,1155839511 1377645835 3439006265
1373,с шансом {0:,"Eu/Z, 0~",2156608929 993885556 49441074
1374,"отражает урон в противника, нанося маг. урон.","ZCN, HU",4019091703 1443912198 836011166
1375,Магическое уклонение,"g%7, Gc, 0eOg, 4), UP",3297656955 3978528776 4269160363
1376,Магический урон также можно,+i,2925160706 1314120237 1283763394
1377,уклониться,"G~, r)",4087717866 2106754345 1391978222
1378,Военная ловкость,"y-O, =OF",2610388310 1930440037 3653257688
1379,В начале боя увеличивает показатель,"(YLZ, U_n",109400050 1444013857 234984955
1380,Контратака,n)x,1213504500 2308944168 918631122
1381,физ. урона. От этого урона нельзя уклониться.,"3r2, k4/",1004932368 2484303289 2599300980
1382,Увеличение уклонения,,2539151024 1062080351 3895445397
1383,Увеличивает показатель,'03,4085649033 3926130614 1422407100
1384,Ядовитое уклонение,,3591204140 571889337 1993937253
1385,накладывает на противника {1:,"3s, 0T, nP_",704216777 35898497 2478004798
1386,Морозное уклонение,"oO, .< ",363744791 2256634725 3358144802
1387,Заряженное уклонение,RT,3863333962 3752716234 3959719914
1388,восстанавливает {1:,vW,2972950368 101818523 1305899764
1389,Исцеляющее уклонение,"F|ld+, '.",3036132097 3566764972 1797185573
1390,Защитное уклонение,"jt, 0f, p[",4294372884 350281789 3922985611
1391,накладывает {1:,">Q, ;r",309654670 2835036158 1675829659
1392,Ранящее уклонение,"H/, 9O",812820698 1383676762 3420099896
1393,Ловкость здоровья,"rD, 1%, H]P",816902047 714450092 1735145752
1394,Устойчивый взрыв,"1}, }J, 6<, ''",3301333355 4149588776 1357005545
1395,"Каждые {0} сек. запускает во врага взрывные частицы, наносящие физ. урон в размере (",ucJ,3189609904 47287409 1209141271
1396,х {1:,nz,1095352419 918596787 2827497255
1397,Оковы уклонения,"FC, Q9K",3177195856 773855909 1801860520
1398,"Каждый раз, когда враг совершает",Mz,4278784234 3544735719 2823689061
1399,"шанс, что оно не удастся.","XGP, hh, 1w",1145776892 1289305595 3404823752
1400,Доля Уклонения,";{A, (""K, lJ*",2747005603 2446687681 2154794907
1401,Каждая единица показателя,"Gw, w09^",4125711025 2474140709 2730621980
1402,Яростное уклонение,;u,2813005593 3457110490 1619209178
1403,В состоянии ярости увеличивает,,1402277664 3107716046 1279006680
1404,Святой взрыв,'@,1486775293 1601320220 1874157580
1405,"В начале боя, наносит",,1360784498 3649760856 4251078262
1406,святой урон,"3se, ]>, ax, +)",2605603268 2699998634 2055575716
1407,в размере {0:,.>,1313756690 1680190790 2736519695
1408,максимального здоровья,,2712179920 3719524382 1199344430
1409,противника и снижает его,^~,1047666038 2801989314 3610200173
1410,на ту же величину.,"87, L4, HdO",3449571258 3963749392 1433733736
1411,Магический крит,{6-,142587368 1090600998 1889423194
1412,Ваш магический урон также может нанести,"p., |^",4148581033 2130577542 2243307320
1413,Крит здоровью,"XHn, 6E, 8/",127945634 3022462841 1553273532
1414,"наносит дополнительный урон, равный {0:",,2816389782 1112090923 3788150945
1415,текущего показателя здоровья,;n,1584712448 2018404877 1927185927
1416,противника.,YM,2973580514 4290671545 1243381763
1417,Неистовство войны,(>,2344488436 1828273827 3350538731
1418,крита,"4VF, <aI<",1391072327 741930231 3831104086
1419,Исцеляющий крит,"w), T|",1009985363 2166747187 695360584
1420,Увеличение крита,cd,3799232371 1069490154 3469487986
1421,Ядовитый крит,"st, 9i, K6, bD",843688124 3699939239 1832053846
1422,Замораживающий крит,OZ3L<,460891579 110226426 2104625481
1423,Заряженный крит,"5/, g?",1455885216 1529078961 1385467482
1424,восстановит {1:,,1894210452 940388555 2224656635
1425,Защитный крит,,1648802761 4125968367 1243706568
1426,накладывает на героя {1:,vOV,2139292249 3202580790 4142575525
1427,Ранящий крит,")E, 8$KL",2998007191 2358886440 16148417
1428,Неистовство здоровья,.n,817531080 2516342394 2534836528
1429,Защита от крита,"99m\, ""m",1297628179 3489061066 2023040682
1430,"Каждый раз, когда противник совершает",", , <Q:, W[",1497937489 1826966675 3163400824
1431,критическую атаку,"6e, :5, Yz3",2214530572 1139785668 738234541
1432,"шанс, что она не удастся.","EZ, ))a+=E",1850061776 3283003140 4215839266
1433,Доля крита,7mm,2085427154 3963351205 905395261
1434,Яростный крит,5(g,1480134938 1305184976 190862383
1435,"В состоянии ярости, показатель","|ch, _o, ^a",1549056121 3505682345 1225570047
1436,крит. шанса,"S., I', /m",3398394739 3214283501 1570848981
1437,увеличивается на {1}.,vs]TX,4168702423 2334949419 3486840932
1438,Священное возрождение,"[=, Ri",3581610612 2471288364 3019083774
1439,После первой смерти герой возрождается с {0:,"__Rd|, G(, -j",442168009 2150634411 3871078712
1440,здоровья,"|0|, ;xhQ",2027954945 353725499 2500010267
1441,Снимает все негативные эффекты.,E6,437164950 627551161 3368748127
1442,Удар здоровья,"s}, 0=%",2339079467 2689625362 3764116317
1443,"Наносит противнику физ.урон, равный {1:","]H, {4, oI, ng",3225889140 763852002 1446470798
1444,от собственного,$A,2067219288 1445749139 3004685912
1445,каждые {0} сек.,,1473545412 1431258173 4285776732
1446,Прочность здоровья,"l!, >,, #$",827134879 2700058036 162103268
1447,потерянного,;?>qc1,774014242 2781708272 876571516
1448,от Макс.,"v`, I~', 6S%",238116732 3575691308 1795012395
1449,увеличивает весь наносимый урон на {1:,"mq, M;, v/zOm@C, <;y",304196019 134460921 3987488320
1450,кроме,"K%, <$, |<WD",397696547 356333645 3084735980
1451,святого урона,"8?V l, /}.",1342500794 3754468652 3642734687
1452,Магическая защита,"N', si, 0D",1386816360 1744032873 1474507542
1453,Снижает получаемый маг. урон на {0:,"I&, yH, &J",373479599 2700360858 220842420
1454,Живучесть,"yu, !f",1434002535 405131608 955996737
1455,потерянного здоровья,"JL""r=, 3@z",928546693 1694084826 3025196126
1456,Увеличение здоровья,"{?, wq",2583774900 3828650701 3456680736
1457,Ядовитое здоровье,"=W^;, Hf",3968068595 4156206968 2599076596
1458,Каждые {0} сек. накладывает на врага стаки,"N., 3""",2098323310 2688429467 180865007
1459,Мин. - {2} стак.,=z,2895603214 3298978178 2612103466
1460,Морозное здоровье," "", mG",3145523133 4281614737 1074697237
1461,Ранящее здоровье,"Wdu, m&",1355819140 4117095037 294305249
1462,Кража здоровья,"Jd, +VJ",2044909279 2946520051 2490803752
1463,В начале боя за каждые {1},""";t, ;V",1852788197 2169150011 4285246863
1464,"врага, крадет у него {2:","29, tk, qYp",1621683718 1799401612 2262433971
1465,вплоть до {3:,"PK, )=, 7\X;",1754063349 2847186892 2934921430
1466,Заряд здоровья,"&.w,%, H2,  ?jV",410553687 798581663 2044740835
1467,За каждые {0},,904073259 2974294822 1320161112
1468,героя увеличивает эффективность восстановления,"1S, JD",601673453 144464256 2091562397
1469,Защита здоровья,zF,457392450 448137761 1985363681
1470,Каждые {0} сек. накладывает стаки,"l{9%, ~&, ""$, h?",1054332429 3893359467 974768037
1471,потерянное здоровье,"PLDE, Vh, ue",2529658955 2338150435 3649540012
1472,Минимум - {2} стак.,"IHM, OO",979781538 852693012 802701439
1473,Доля здоровья,"cX, Zu, Z$, )Q",2759097301 864681542 1196002158
1474,Каждые {0} ед. от,":ns, xK, ""z, ijfM",2970571322 2072951421 3546243063
1475,Ярость здоровья,,3803387510 76571285 3689338592
1476,Каждые {0} сек. увеличивает,"uO, e&",438041915 245869989 3050926954
1477,гнев,"_kx, mS",2149692564 693663347 16177493
1478,Лечебный строй,C',1660329204 1565765771 4214740148
1479,Когда впервые ваше здоровье падает ниже {0:,,4000235494 3289746132 2516673989
1480,мгновенно,,852536512 3453505523 2549167643
1481,"ед. здоровья, затем каждые {1} сек.",pe,2007870034 3636746875 2434952423
1482,по {2:,`[,1411595400 1563418239 2393890706
1483,ед. здоровья в течение {3} сек.,,2320754304 2568631391 1676516893
1484,Лечебные лучи,oq,644620569 1532922024 1107519500
1485,Когда вы,,1042750308 1949623132 1908450410
1486,восстанавливаете,3s'lr,4143304194 1946763402 4178338367
1487,с {0:,)z8<;,2049604691 3112644647 3645637359
1488,"шансом рядом с врагом появятся лучи, наносящие {1:","v;,  Y",430326266 2790413952 2729285860
1489,Медицинский взрыв,"(k, \~",2989081 405303238 3341325138
1490,"Каждые {0} сек. атакует врага священным светом, нанося физ. урон в размере {1:",/k,1380981177 2246870092 4074715730
1491,всего полученного за это время лечения,FO,2689961990 1264967521 868775837
1492,Мин. урон,,1855089896 245667887 1421384837
1493,Похищение жизни,"||<, #T",1567591129 225460533 3809462584
1494,"При нанесении урона врагу, есть {0:","Ii, OV",3114409412 3247302717 3865371558
1495,Естественное исцеление,,206467145 3894260601 1861035083
1496,При,#(4,4681918 846883718 3812758770
1497,восстановлении,6s,3054724360 2232656232 4101829790
1498,шансом накладывает на врага {1:,1?,1532654457 3623607264 1467687159
1499,Морозное исцеление,"G], ud",1553408362 999495562 3257767101
1500,Защитное исцеление,e-;,2208080249 1732093859 1050223820
1501,шансом накладывает {1:,2P{,2191334800 3043617127 2260055215
1502,Щитов,j],1553472134 2306068884 1233685405
1503,Ранящее исцеление,x#&,442411069 273347290 2040939564
1504,Блокировка исцеления,,2322269538 3928816562 251080497
1505,Снижает эффективность,"m%G, `Yy+",2159979133 2448850019 3516024793
1506,врага на {1:,"/x""",2928871853 4118565863 145552936
1507,Ультимативное исцеление,">%, $#B, eE3",3654837298 2087875073 2093846094
1508,Запуск,;J,2624572547 207032152 793306357
1509,Контроль регенерации,iR,1821628772 2985423196 4024846365
1510,духов,"Pm,",1166141860 2973468218 2624496284
1511,очков здоровья герою каждые {0} сек.,(f,697975260 2419724928 2628264510
1512,Исцеляющая ярость,"K), By;, Z;X",3849375651 2697496958 396839592
1513,Преимущественный удар,"Vz, ;Hq",2988391714 2704547447 1548384147
1514,В начале боя запускает,rh,791418254 3760141620 2378871587
1515,Ульту,"at*;, D=, y-",3864285114 2064661208 1769952444
1516,с эффективностью,"4(, GS, RE, Ci",740016223 793501783 100580699
1517,увеличенной на {0:,"0*, 62!",4222450920 4112609889 4072025337
1518,Ультимативная энергия,"J(Q, ~l",2134784576 4119972975 3625866700
1519,После запуска,"x6, ?k, | R",707578132 3076117266 3631614039
1520,каждые {0} сек. восстанавливает {2:,,1000120200 3682141969 1344568853
1521,в течении {1} сек.,"\W, O:",2254624749 545722806 3637689218
1522,Ультимативное оглушение,"U%?, 6lr",2299878475 3393429666 2796138879
1523,оглушает противника на {0:,,340237140 1878778535 382509148
1524,"сек.(Невозможно совершить базовая атака,",^y,2304706560 1901185666 1797684877
1525,или запустить,"<.N, $4kiu",4187230300 1110871173 3379360901
1526,Заряженный урон,"@H, 9gi, ?Z",870255563 1629301113 2572618892
1527,"При нанесении урона противнику, с {0:",X9,1639758767 2656009386 601125754
1528,шансом восстанавливает {1:,.O,1745753687 806445440 3403500833
1529,Восстановление энергии,"R"", e6U, /h",3735250246 604519947 1626091449
1530,Восстанавливает {1:,"lV, f;@",1136050189 1747234268 2119529982
1531,Ультимативный щит,",{9F, y3",102521604 4024347335 272422283
1532,Ультимативный яд,"9s, zd",2819641853 1744853418 995932063
1533,накладывает на врага {1:,"0X, a|, :u",2610748381 1645632513 408700861
1534,Ультимативная заморозка,g_S4d,2498014967 1699054668 1762310088
1535,Ультимативные раны,"c-, o:m",4017249434 3773877746 758091133
1536,Стоимость энергии,`],2591472702 4040189810 3472358244
1537,Снижает восстановление,"x^, \9",618742617 773558074 4093816316
1538,противника на {0:,"/[, d@",1272997499 2043980982 2014960461
1539,Контроль Ульты,"5B, ;<, /+MC",3684644459 1532173938 4290605492
1540,на поле боя увеличивает эффект,"\}, ]4",370135626 606909667 3832039406
1541,Энергия ярости," ~9, Np, B$O",2250457092 2479718093 2688563678
1542,В состоянии ярости каждые {0} сек. восстанавливает {1:,"ym, SPr, v[",1697855158 1682656768 3826875492
1543,Ядовитый взрыв,,3041698682 1090684527 2014166212
1544,впервые опускается ниже {0:,"*=, ([",3084333395 3595548705 3848565809
1545,и мгновенно наносит урон,"oS, <I",2006558498 4191769708 1849806943
1546,Ядом,"|c, PH, )8, %>s",1864339026 4214095741 2276058955
1547,Ядовитый плащ,"}1, 1f",4261702074 3273803533 2900966693
1548,При получении урона есть {0:,3~?,1045239211 1104565660 2741253513
1549,шанс наложить на врага {1:,"/p, Zc",2408450804 3132517957 334664426
1550,Предбоевой яд,"vpF, uj, )H",419649190 2928274776 1428011677
1551,В начале боя накладывает на противника {0:,"D,, cL, ,<",2574731705 3986307520 1543951217
1552,Урон ядом,"gcDGm, G$Nv",3513133263 591211908 3045076042
1553,Когда противник получает не,8o,2271122791 3856766668 292897068
1554,ядовитый,"uJ, )'}",650815460 1693405439 2920494678
1555,"урон, он с {0:",E`J),3647976557 640206839 2853255753
1556,шансом получит дополнительно {1:,"I""v, 4m",4264611979 3466616856 2573294240
1557,ед. урона от,"e#, k`",4280848243 351956395 2467997225
1558,Стойкий яд,"giG, Df, *%",85592154 2075937564 1384654703
1559,Каждые {0} сек. накладывает на противника {1:,"L_""F[",2328793815 3430090624 2074069397
1560,Ядовитый щит,")*w, X9",2436236425 509070218 1593032094
1561,При получении,<ZS,178319315 565236790 576244114
1562,шансом накладывает на врага {1} стаков,,3972356850 3853466327 162687443
1563,Ядовитая рана,^C,203606680 1065590534 2605527193
1564,"Каждый раз, при наложении на противника","Ea, D@V",4233456999 2936473265 2363384972
1565,шансом так же накладывает {1} стаков,"9W, *u, )y",598627488 50568146 1828751051
1566,Антидот,"_JrS|, (y",2683245710 382624555 2098922657
1567,"Снижает урон, получаемый от",,3313868394 3811167561 3597666971
1568,Ядовитая заморозка,"v\, vf`, p-",1637783192 940302075 4085029790
1569,на враге дополнительно увеличивают урон от,"\<, :T(, mX0)",945221946 3040665740 2154404544
1570,Контроль яда,"s_!, G""j, Y)",3337100579 3000294022 3957155725
1571,Добавляет (количество,"a:\, -2",3837301362 4137968870 2920039152
1572,противнику каждые {0} сек.,"~S, ,|",2637020906 492438052 1154171340
1573,Ядовитая ярость,HXw,3473297450 3414334739 2215905521
1574,В состоянии ярости накладывает на противника стаки,"27, v(",2645547364 1933774504 857509863
1575,в размере (текущее значение,"%fIQR ^, siYy",3072602961 3412450937 1577076115
1576,гнева,G\,3588884753 2654415181 1698243381
1577,Ледяная звезда,"_', UQp}Z6, g9",2910668076 3560531213 2986213716
1578,"Каждые {0} сек. наносит противнику маг. урон, равный ({1:","c1B, r5Z>",2640270217 579400981 485800372
1579,текущее количество стаков,,3404126226 473017 2346252536
1580,х {2}).,,3894389104 792693449 503587759
1581,Предбоевая заморозка,"@u, {j, \J",1271216347 3331845075 4101468867
1582,Морозный урон,[{<-,3263178946 3155529140 325259436
1583,При каждом наложении,"HX, juz",2621769792 766958865 628986467
1584,на противника с {0:,"j?, UN(, 1g",3486145552 954497254 3500882099
1585,"шансом создает рядом с ним сосульки, наносящие {1:",6~`,3291526457 4274628559 1791626576
1586,ед. маг. урона.,"Lc, mY",55883202 2275070798 563891222
1587,Морозные частицы,"kF, s"", dJ",1798712605 3286580703 3293527411
1588,"При каждом получении урона, с {0:","`a4, Fe",1197950060 4062384875 3962416571
1589,шансом накладывает на противника {1:,,3390585657 1073193077 731873826
1590,Стойкая заморозка,Ou+,1527702920 190010236 186016015
1591,Ледяной щит,lh,1550300816 986152203 4244289875
1592,"Каждый раз, при получении","L!, n}",223408358 1580431526 1353646434
1593,шансом накладывает на противника {1} стаков,"l`, @_",2110729371 398366604 2026580149
1594,Морозные раны,Na,2131321073 826041528 1147616354
1595,"на противника, с {0:","t\k~, ^)",3899939478 4127887528 580721741
1596,Стойкость к заморозке,rX,530860183 2419310472 2718055502
1597,от противника на {1:,@|,3411400142 4268906600 1468821129
1598,Контроль заморозки,EO,431070291 2319332269 2871317740
1599,Морозная ярость,"! , $GaT, q)",2642001670 990001226 3978472073
1600,Финальная защита,""">, b&",4078757710 1257566571 868677621
1601,"Впервые приближаясь к смерти, герой получает {0:","@Y, PU",1033657838 3027581982 3288204776
1602,а так же накладывает {3:,"0"", IB, Cb",882280022 2232968216 2909958003
1603,каждые {2} сек. в течении {1} сек.,Ra),439399778 627338096 4203252712
1604,Предбоевая защита,"""j, Pm",394686964 2487896333 2681190380
1605,В начале боя накладывает {0:,T]U_,2955616253 959574140 898690370
1606,Мастерство защиты,QIl,2509203743 3651964000 1271331330
1607,уменьшает весь получаемый урон на {0:,,3140498749 1930697701 3267712797
1608,Кроме,A]`O,1810305623 190639453 1053267031
1609,Удар щитом,"W)3, ~3",656888786 3636340037 4045247496
1610,Каждый раз при получении,eJ,3319085825 1951398418 1416795854
1611,"создает вокруг себя и метает в противника щит, наносящий {1:","z8:, nO, Hg",1253173304 3259009423 2629127420
1612,физ. урона при попадении.,"ln, 2w",762455521 2606907297 2030830218
1613,Базовая защита,7u,1670460952 578133763 3522483259
1614,Накладывает {1:,yK,884860657 2106072002 3017144421
1615,Щитовой удар,"dOh[, RCUQ, I|",2601333219 1452900400 2067903570
1616,"Каждые {0} сек. наносит противнику маг. урон, равный общему количеству навыков веток",}k,3091079538 105466512 1342266886
1617,раны,e2,362202941 1475312159 409529663
1618,Блокировка защиты,,47356490 3952948391 1771664435
1619,противника на {1:,"5"", %w",1479309909 2726191469 1959515889
1620,Контроль щитов,"e~?, 5M",131341998 3349470693 256731093
1621,герою каждые {0} сек.,,192403749 1065751881 1726124394
1622,Защитная ярость,,327010576 4103020821 2604933493
1623,Преобразует {0:,"&1, Sv2-Q>#*, E-",2238608591 3025966514 496503975
1624,заблокированого,jR,1061931901 1326917246 3437567147
